1578089327,Welcome to the first weekend of 2020 Jogging shopping juicing raving Heres the latest weather update ukweather,0.5166666666666667,"['welcome', 'first', 'weekend', '2020', 'jogging', 'shopping', 'juicing', 'raving', 'heres', 'latest', 'weather', 'update', 'ukweather']"

1578089327,This is the year I buy some skates again Determined to do it while still in London If anyone else is interested let me know Intending to do Sunday sessions when the weather improves and hopefully Friday ones when I get betterquadskates dotheystillmakebauerturbo,0.25,"['year', 'buy', 'skates', 'determined', 'still', 'london', 'anyone', 'else', 'interested', 'let', 'know', 'intending', 'sunday', 'sessions', 'weather', 'improves', 'hopefully', 'friday', 'ones', 'get', 'betterquadskates', 'dotheystillmakebauerturbo']"

1578089327,First meteor shower of the year set to light up skies tonightSent via updayUK,0.325,"['first', 'meteor', 'shower', 'year', 'set', 'light', 'skies', 'tonightsent', 'via', 'updayuk']"

1578089327,TheEvilBarbie Oh I see will they be different every week I guess it will also depend on the calibre of stars in the costumes that are taking part as long as they really are stars and not people like someone that presents the weather forecast on North Norfolk News O LOL,0.23750000000000002,"['theevilbarbie', 'oh', 'see', 'different', 'every', 'week', 'guess', 'also', 'depend', 'calibre', 'stars', 'costumes', 'taking', 'part', 'long', 'really', 'stars', 'people', 'like', 'someone', 'presents', 'weather', 'forecast', 'north', 'norfolk', 'news', 'lol']"

1578089327,Breaking Evacuations underway as weather raises Australias firedanger,0.0,"['breaking', 'evacuations', 'underway', 'weather', 'raises', 'australias', 'firedanger']"

1578089327,Never thought the nbhd with sweater weather and chan was what I needed for the day,0.0,"['never', 'thought', 'nbhd', 'sweater', 'weather', 'chan', 'needed', 'day']"

1578089327,grodaeu Does that include whining about the weather Seems low,0.0,"['grodaeu', 'include', 'whining', 'weather', 'seems', 'low']"

1578089327,NEW ZEALAND WEATHER FORECAST SATURDAY JANUARY 4TH newzealand newzealandweathe wellington palmerstonnorth napier auckland christchurch wellington matamata wanaka queenstown taupo nelson surf windsurfing kitesurfing,0.13636363636363635,"['new', 'zealand', 'weather', 'forecast', 'saturday', 'january', '4th', 'newzealand', 'newzealandweathe', 'wellington', 'palmerstonnorth', 'napier', 'auckland', 'christchurch', 'wellington', 'matamata', 'wanaka', 'queenstown', 'taupo', 'nelson', 'surf', 'windsurfing', 'kitesurfing']"

1578089327,NEW ZEALAND WEATHER FORECAST SATURDAY JANUARY 4TH newzealand newzealandweathe wellington palmerstonnorth napier auckland christchurch wellington matamata wanaka queenstown taupo nelson surf windsurfing kitesurfing,0.13636363636363635,"['new', 'zealand', 'weather', 'forecast', 'saturday', 'january', '4th', 'newzealand', 'newzealandweathe', 'wellington', 'palmerstonnorth', 'napier', 'auckland', 'christchurch', 'wellington', 'matamata', 'wanaka', 'queenstown', 'taupo', 'nelson', 'surf', 'windsurfing', 'kitesurfing']"

1578089327,Friday 03 January 2020 at 1857 GMT pywws weather update from N15 London Temperature 57C Wind ESE 1mph ave 2mph gust Humidity 72 Rain 00mmh Pressure 1035hPa rising,0.0,"['friday', '03', 'january', '2020', '1857', 'gmt', 'pywws', 'weather', 'update', 'n15', 'london', 'temperature', '57c', 'wind', 'ese', '1mph', 'ave', '2mph', 'gust', 'humidity', '72', 'rain', '00mmh', 'pressure', '1035hpa', 'rising']"

1578089327,Ive a weird sorta mood today my feet are still making their minds up about the weather so I cant walk much until they calm downBut this is literally an island where all you do is eat garlic bread and walk aroundYou dont need feet to go kayaking DONT TEST ME,1.850371707708594e-17,"['ive', 'weird', 'sorta', 'mood', 'today', 'feet', 'still', 'making', 'minds', 'weather', 'cant', 'walk', 'much', 'calm', 'downbut', 'literally', 'island', 'eat', 'garlic', 'bread', 'walk', 'aroundyou', 'dont', 'need', 'feet', 'go', 'kayaking', 'dont', 'test']"

1578089327,NealTilbury True mate Nice view and weather mind you though,0.475,"['nealtilbury', 'true', 'mate', 'nice', 'view', 'weather', 'mind', 'though']"

1578089327,Visiting the folks and life is wild The weather forecast comes at the end of news at 630 And then we wait to watch it again at 7 Madness,0.1,"['visiting', 'folks', 'life', 'wild', 'weather', 'forecast', 'comes', 'end', 'news', '630', 'wait', 'watch', '7', 'madness']"

1578089327,amoramira They need people in the front line and your in the draft I heard the weather is beautiful in Mexico and I can learn Spanish in a month I dont wanna go to like Australia thats a journey,0.425,"['amoramira', 'need', 'people', 'front', 'line', 'draft', 'heard', 'weather', 'beautiful', 'mexico', 'learn', 'spanish', 'month', 'dont', 'wanna', 'go', 'like', 'australia', 'thats', 'journey']"

1578089327,On my way back from Zambia and even in the capital Lusaka there is a big impact on quality of life and economic conditions due to climate change related lack of rains and unseasonably warm weather,0.1125,"['way', 'back', 'zambia', 'even', 'capital', 'lusaka', 'big', 'impact', 'quality', 'life', 'economic', 'conditions', 'due', 'climate', 'change', 'related', 'lack', 'rains', 'unseasonably', 'warm', 'weather']"

1578089327,Wrapping up an incredible weeks skiing in LaPlagne with family amp friends Exceptional lessons for us all from OxygeneSki school Weather was beautiful we loved every minute,0.7791666666666666,"['wrapping', 'incredible', 'weeks', 'skiing', 'laplagne', 'family', 'amp', 'friends', 'exceptional', 'lessons', 'us', 'oxygeneski', 'school', 'weather', 'beautiful', 'loved', 'every', 'minute']"

1578089327,TrustInStardust I like weather that knows what its doing If youre going to be hot be hot Have an aching blue sky let the light be golden and baking let the ground crack and the air swell with it,0.24,"['trustinstardust', 'like', 'weather', 'knows', 'youre', 'going', 'hot', 'hot', 'aching', 'blue', 'sky', 'let', 'light', 'golden', 'baking', 'let', 'ground', 'crack', 'air', 'swell']"

